date,Japan,China,United States of America,South Korea,United Kingdom,Germany,France
2017/1/21,1414960.36,82841.93,,,,,
2017/1/22,1382254.81,72403.43,,,,,
2017/1/23,1075162.07,79137.01,,,,,
2017/1/24,1068752.75,100096.29,,,,,
2017/1/25,2547054.59,104353.62,,,,,
2017/1/26,2801221.56,118423.15,,,,,
2017/1/27,2966125.71,792971.85,,,,,
2017/1/28,2573131.04,940497.49,,,,,
2017/1/29,1542341.06,659368.93,,,,,
2017/1/30,1292775.7,596435.35,,,,,
2017/1/31,848137.14,541744.23,,,,,
2017/2/1,1612432.47,622797.04,,,,,
2017/2/2,1480316.75,492242.47,,,,,
2017/2/3,943972.81,591327.92,,,,,
2017/2/4,1098476.98,576047.15,,,,,
2017/2/5,1093896.38,251657.74,,,,,
2017/2/6,702604.8,117592.04,,,,,
2017/2/7,1958172.81,89643.8,,,,,
2017/2/8,1879031.98,80663.01,,,,,
2017/2/9,2958377.25,76550.37,,,,,
2017/2/10,3367119.25,76705.74,,,,,
2017/2/11,3804904.01,668391.82,,,,,
2017/2/12,3049578.55,993630.18,,,,,
2017/2/13,1927272.08,585192.59,,,,,
2017/2/14,2130054.53,325644.72,,,,,
2017/2/15,2140295,111835.58,,,,,
2017/2/16,1972277.54,96205.53,,,,,
2017/2/17,2087498.87,83637.31,,,,,
2017/2/18,1971991.59,75430.41,,,,,
2017/2/19,1823253.31,89619.12,,,,,
2017/2/20,1068821.45,57486.73,,,,,
2017/2/21,912005.15,55092.05,,,,,
2017/2/22,824610.17,63378.01,,,,,
2017/2/23,537014.01,56511.8,,,,,
2017/2/24,951709.71,65171.76,,,,,
2017/2/25,2730264.24,572730.32,,,,,
2017/2/26,2143103.61,529531.18,,,,,
2017/2/27,1435169.74,214864.65,,,,,
2017/2/28,1131989.75,102974.74,,,,,
2017/3/1,2090230.65,91537.93,,,,,
2017/3/2,2104620.31,83076.08,,,,,
2017/3/3,2054357.57,84510.66,,,,,
2017/3/4,1497458.28,681659.62,,,,,
2017/3/5,1079674.68,690741.5,,,,,
2017/3/6,876016.63,414878.79,,,,,
2017/3/7,1089295.93,296601.09,,,,,
2017/3/8,1422106.62,358711.21,,,,,
2017/3/9,1813655.82,496157.41,,,,,
2017/3/10,1935851.13,403643.16,,,,,
2017/3/11,2338543.26,350618.93,,,,,
2017/3/12,1203188.19,226975.76,,,,,
2017/3/13,831856.73,1008686.39,,,,,
2017/3/14,1031012.72,1551574.73,,,,,
2017/3/15,1043409.88,453565.4,,,,,
2017/3/16,1999687.33,316722.55,,,,,
2017/3/17,2124794.24,167745.46,,,,,
2017/3/18,2121080.92,109769.3,,,,,
2017/3/19,1622012.28,89614.33,,,,,
2017/3/20,1104511.74,64536.93,,,,,
2017/3/21,986137.48,64279.43,,,,,
2017/3/22,872015.59,64264.98,,,,,
2017/3/23,781897.07,54188.94,,,,,
2017/3/24,798527.3,49680.79,,,,,
2017/3/25,768766.12,54372.81,,,,,
2017/3/26,708400.73,62760.57,,,,,
2017/3/27,565659.95,53871.41,,,,,
2017/3/28,581203.31,156815.31,,,,,
2017/3/29,525684.88,142411.19,,,,,
2017/3/30,665376.19,286514.68,,,,,
2017/3/31,982286.03,316400.36,,,,,
2017/4/1,1690816.64,142170.99,,,,,
2017/4/2,1340895.31,88961.99,,,,,
2017/4/3,1151393.94,55966.21,,,,,
2017/4/4,1329949.96,54376.23,,,,,
2017/4/5,1585494.86,460850.97,,,,,
2017/4/6,2342256.71,282468.17,,,,,
2017/4/7,2218969.46,122299.72,,,,,
2017/4/8,2013768.03,86767.58,,,,,
2017/4/9,1243516.83,59003.38,,,,,
2017/4/10,966803.7,60228.18,,,,,
2017/4/11,610928.93,49775.74,,,,,
2017/4/12,406524.49,48060.62,,,,,
2017/4/13,368636.45,91590.21,,,,,
2017/4/14,308804.8,70698.41,,,,,
2017/4/15,350148.37,64034.85,,,,,
2017/4/16,276904.4,52504.55,,,,,
2017/4/17,218968.91,36892.73,,,,,
2017/4/18,417644.9,31404.51,,,,,
2017/4/19,1040649.99,36343.54,,,,,
2017/4/20,1685344.78,28270.5,,,,,
2017/4/21,1812239.06,25495.8,,,,,
2017/4/22,1986932.39,26998.96,,,,,
2017/4/23,1840946.14,26810.08,,,,,
2017/4/24,1486755.36,24954.9,,,,,
2017/4/25,1376199.05,22990.64,,,,,
2017/4/26,1757901.21,101480.67,,,,,
2017/4/27,2105157.45,95247.88,,,,,
2017/4/28,1614649.49,76869.97,,,,,
2017/4/29,1289869.47,64576.46,,,,,
2017/4/30,1764804.93,74516.91,,,,,
2017/5/1,2599049.85,100440.22,,,,,
2017/5/2,2856698.15,155548.07,,,,,
2017/5/3,1938738.65,2011128.79,,,,,
2017/5/4,1840547.77,1746848.3,,,,,
2017/5/5,1678866,829212.53,,,,,
2017/5/6,1738900.17,429188.49,,,,,
2017/5/7,1752555.62,271248.39,,,,,
2017/5/8,930109.14,156929.06,,,,,
2017/5/9,1068045.13,109563.09,,,,,
2017/5/10,1540311.78,137800.59,,,,,
2017/5/11,1633852.39,143279.49,,,,,
2017/5/12,2091301.85,115905.4,,,,,
2017/5/13,1382564.93,361310.94,,,,,
2017/5/14,1015639.55,369945.02,,,,,
2017/5/15,947195.8,231490.71,,,,,
2017/5/16,821021.03,165191.69,,,,,
2017/5/17,882283.5,123660.7,,,,,
2017/5/18,971907.95,98856,,,,,
2017/5/19,1069021.66,366785.21,,,,,
2017/5/20,1260548.59,348242.93,,,,,
2017/5/21,1154680.54,202318.33,,,,,
2017/5/22,840868.14,117158.17,,,,,
2017/5/23,902845.45,93345.94,,,,,
2017/5/24,1320637.57,87438.52,,,,,
2017/5/25,1503495.35,213936.95,,,,,
2017/5/26,1397900.18,307778.39,,,,,
2017/5/27,972519.65,172609.1,,,,,
2017/5/28,870081.36,119542.43,,,,,
2017/5/29,775498.69,100413.26,,,,,
2017/5/30,894141.12,86663.36,,,,,
2017/5/31,1560314.2,63184.9,,,,,
2017/6/1,2556666.37,76987.37,,,,,
2017/6/2,1636745.45,82673.01,,,,,
2017/6/3,1633230.25,45122.34,,,,,
2017/6/4,1328878.93,42292.68,,,,,
2017/6/5,1073640.3,38525.74,,,,,
2017/6/6,1068298.76,34864.11,,,,,
2017/6/7,1099545.27,28685.66,,,,,
2017/6/8,1383173.11,28297.67,,,,,
2017/6/9,1322183.41,26295.42,,,,,
2017/6/10,1029946.24,89362.69,,,,,
2017/6/11,975831.76,85160.73,,,,,
2017/6/12,676297.95,66444.56,,,,,
2017/6/13,910477.16,50415.11,,,,,
2017/6/14,1299948.7,45161.68,,,,,
2017/6/15,1962796.82,50725.74,,,,,
2017/6/16,1713870.16,684600.83,,,,,
2017/6/17,1070795.4,692072.47,,,,,
2017/6/18,1191567.92,320482.29,,,,,
2017/6/19,743550.24,150573.37,,,,,
2017/6/20,664226.58,96162.57,,,,,
2017/6/21,754066.54,86878.33,,,,,
2017/6/22,650116.45,79588.06,,,,,
